lat,lon,twb
-89.5,-179.375,-28.843239
-89.5,-178.125,-28.826641
-89.5,-176.875,-28.810043
-89.5,-175.625,-28.793428
-89.5,-174.375,-28.77683
-89.5,-173.125,-28.760233
-89.5,-171.875,-28.743618
-89.5,-170.625,-28.727022
-89.5,-169.375,-28.710423
-89.5,-168.125,-28.69381
-89.5,-166.875,-28.677212
-89.5,-165.625,-28.660612
-89.5,-164.375,-28.644014
-89.5,-163.125,-28.6274
-89.5,-161.875,-28.610804
-89.5,-160.625,-28.594204
-89.5,-159.375,-28.57759
-89.5,-158.125,-28.560993
-89.5,-156.875,-28.544394
-89.5,-155.625,-28.52778
-89.5,-154.375,-28.511183
-89.5,-153.125,-28.494585
-89.5,-151.875,-28.477985
-89.5,-150.625,-28.461374
-89.5,-149.375,-28.444775
-89.5,-148.125,-28.428175
-89.5,-146.875,-28.411564
-89.5,-145.625,-28.394964
-89.5,-144.375,-28.378366
-89.5,-143.125,-28.361753
-89.5,-141.875,-28.345154
-89.5,-140.625,-28.328556
-89.5,-139.375,-28.311943
-89.5,-138.125,-28.295345
-89.5,-136.875,-28.278746
-89.5,-135.625,-28.26215
-89.5,-134.375,-28.245535
-89.5,-133.125,-28.228935
-89.5,-131.875,-28.21234
-89.5,-130.625,-28.195724
-89.5,-129.375,-28.179127
-89.5,-128.125,-28.162529
-89.5,-126.875,-28.145916
-89.5,-125.625,-28.129316
-89.5,-124.375,-28.112719
-89.5,-123.125,-28.096106
-89.5,-121.875,-28.079506
-89.5,-120.625,-28.06291
-89.5,-119.375,-28.04631
-89.5,-118.125,-28.029697
-89.5,-116.875,-28.0131
-89.5,-115.625,-27.9965
-89.5,-114.375,-27.979889
-89.5,-113.125,-27.96329
-89.5,-111.875,-27.946692
-89.5,-110.625,-27.930079
-89.5,-109.375,-27.913479
-89.5,-108.125,-27.896881
-89.5,-106.875,-27.880283
-89.5,-105.625,-27.86367
-89.5,-104.375,-27.84707
-89.5,-103.125,-27.830475
-89.5,-101.875,-27.81386
-89.5,-100.625,-27.79726
-89.5,-99.375,-27.449486
-89.5,-98.125,-27.454557
-89.5,-96.875,-27.45963
-89.5,-95.625,-27.464685
-89.5,-94.375,-27.469757
-89.5,-93.125,-27.474829
-89.5,-91.875,-27.4799
-89.5,-90.625,-27.484957
-89.5,-89.375,-27.490028
-89.5,-88.125,-27.4951
-89.5,-86.875,-27.500172
-89.5,-85.625,-27.505228
-89.5,-84.375,-27.510298
-89.5,-83.125,-27.515371
-89.5,-81.875,-27.520441
-89.5,-80.625,-27.5255
-89.5,-79.375,-27.53057
-89.5,-78.125,-27.535643
-89.5,-76.875,-27.540712
-89.5,-75.625,-27.54577
-89.5,-74.375,-27.55084
-89.5,-73.125,-27.555914
-89.5,-71.875,-27.560984
-89.5,-70.625,-27.566042
-89.5,-69.375,-27.571112
-89.5,-68.125,-27.576185
-89.5,-66.875,-27.581255
-89.5,-65.625,-27.586313
-89.5,-64.375,-27.591383
-89.5,-63.125,-27.596457
-89.5,-61.875,-27.601526
-89.5,-60.62499999999994,-27.606585
-89.5,-59.375,-27.611654
-89.5,-58.125,-27.616728
-89.5,-56.875,-27.621798
-89.5,-55.625,-27.626856
-89.5,-54.375,-27.631926
-89.5,-53.125,-27.637
-89.5,-51.875,-27.642069
-89.5,-50.625,-27.647127
-89.5,-49.375,-27.652197
-89.5,-48.125,-27.65727
-89.5,-46.875,-27.66234
-89.5,-45.625,-27.667398
-89.5,-44.375,-27.672468
-89.5,-43.125,-27.677542
-89.5,-41.875,-27.682611
-89.5,-40.625,-27.68767
-89.5,-39.37499999999994,-27.69274
-89.5,-38.125,-27.697813
-89.5,-36.875,-27.702883
-89.5,-35.625,-27.707941
-89.5,-34.375,-27.71301
-89.5,-33.125,-27.718084
-89.5,-31.875,-27.723154
-89.5,-30.625,-27.728212
-89.5,-29.375,-27.733282
-89.5,-28.125,-27.738356
-89.5,-26.875,-27.743425
-89.5,-25.625,-27.748482
-89.5,-24.375,-27.753553
-89.5,-23.125,-27.758627
-89.5,-21.875,-27.763697
-89.5,-20.625,-27.768753
-89.5,-19.375,-27.773825
-89.5,-18.125,-27.778896
-89.5,-16.875,-27.783968
-89.5,-15.625,-27.789024
-89.5,-14.375,-27.794096
-89.5,-13.125,-27.799168
-89.5,-11.875,-27.80424
-89.5,-10.625,-27.809296
-89.5,-9.375,-27.812538
-89.5,-8.125,-27.833147
-89.5,-6.875,-27.853758
-89.5,-5.625,-27.874367
-89.5,-4.375,-27.894976
-89.5,-3.125,-27.915585
-89.5,-1.875,-27.936193
-89.5,-0.625,-27.956804
-89.5,0.625,-27.977413
-89.5,1.875,-27.998022
-89.5,3.125,-28.018631
-89.5,4.375,-28.03924
-89.5,5.625,-28.05985
-89.5,6.875,-28.08046
-89.5,8.125,-28.10107
-89.5,9.375,-28.12168
-89.5,10.625,-28.142288
-89.5,11.875,-28.162899
-89.5,13.125,-28.183493
-89.5,14.375,-28.204102
-89.5,15.625,-28.22471
-89.5,16.875,-28.24532
-89.5,18.125,-28.265928
-89.5,19.375,-28.28654
-89.5,20.625,-28.307148
-89.5,21.875,-28.327757
-89.5,23.125,-28.348366
-89.5,24.375,-28.368975
-89.5,25.625,-28.389585
-89.5,26.875,-28.410194
-89.5,28.125,-28.430805
-89.5,29.375,-28.451414
-89.5,30.625,-28.472023
-89.5,31.875,-28.492634
-89.5,33.125,-28.513243
-89.5,34.375,-28.533852
-89.5,35.625,-28.554445
-89.5,36.875,-28.575054
-89.5,38.125,-28.595663
-89.5,39.375,-28.616274
-89.5,40.625,-28.636883
-89.5,41.875,-28.657494
-89.5,43.125,-28.678102
-89.5,44.375,-28.698711
-89.5,45.625,-28.719322
-89.5,46.875,-28.739931
-89.5,48.125,-28.76054
-89.5,49.375,-28.781149
-89.5,50.625,-28.801758
-89.5,51.875,-28.822369
-89.5,53.125,-28.842978
-89.5,54.375,-28.863586
-89.5,55.625,-28.884197
-89.5,56.875,-28.904806
-89.5,58.125,-28.925417
-89.5,59.375,-28.94601
-89.5,60.625,-28.96662
-89.5,61.875,-28.987228
-89.5,63.125,-29.007837
-89.5,64.375,-29.028446
-89.5,65.625,-29.049057
-89.5,66.875,-29.069668
-89.5,68.125,-29.090277
-89.5,69.375,-29.110886
-89.5,70.625,-29.131495
-89.5,71.875,-29.152105
-89.5,73.125,-29.172714
-89.5,74.375,-29.193323
-89.5,75.625,-29.213932
-89.5,76.875,-29.23454
-89.5,78.125,-29.255154
-89.5,79.375,-29.275763
-89.5,80.625,-29.171654
-89.5,81.875,-29.16257
-89.5,83.125,-29.153503
-89.5,84.375,-29.144436
-89.5,85.625,-29.135353
-89.5,86.875,-29.126284
-89.5,88.125,-29.117216
-89.5,89.375,-29.108133
-89.5,90.625,-29.099068
-89.5,91.875,-29.089985
-89.5,93.125,-29.080917
-89.5,94.375,-29.07185
-89.5,95.625,-29.062767
-89.5,96.875,-29.0537
-89.5,98.125,-29.044615
-89.5,99.375,-29.035547
-89.5,100.625,-29.02648
-89.5,101.875,-29.017397
-89.5,103.125,-29.00833
-89.5,104.375,-28.999247
-89.5,105.625,-28.99018
-89.5,106.875,-28.981112
-89.5,108.125,-28.97203
-89.5,109.375,-28.962963
-89.5,110.625,-28.953878
-89.5,111.875,-28.94481
-89.5,113.125,-28.935743
-89.5,114.375,-28.92666
-89.5,115.625,-28.917593
-89.5,116.875,-28.908525
-89.5,118.125,-28.899443
-89.5,119.375,-28.890375
-89.5,120.625,-28.881292
-89.5,121.875,-28.872225
-89.5,123.125,-28.863155
-89.5,124.375,-28.854073
-89.5,125.625,-28.845007
-89.5,126.875,-28.835924
-89.5,128.125,-28.826857
-89.5,129.375,-28.81779
-89.5,130.625,-28.808706
-89.5,131.875,-28.799639
-89.5,133.125,-28.790556
-89.5,134.375,-28.781487
-89.5,135.625,-28.772419
-89.5,136.875,-28.763336
-89.5,138.125,-28.754269
-89.5,139.375,-28.745186
-89.5,140.625,-28.736118
-89.5,141.875,-28.727053
-89.5,143.125,-28.71797
-89.5,144.375,-28.708902
-89.5,145.625,-28.699835
-89.5,146.875,-28.69075
-89.5,148.125,-28.681683
-89.5,149.375,-28.6726
-89.5,150.625,-28.663532
-89.5,151.875,-28.654465
-89.5,153.125,-28.645382
-89.5,154.375,-28.636314
-89.5,155.625,-28.627232
-89.5,156.875,-28.618164
-89.5,158.125,-28.609097
-89.5,159.375,-28.600014
-89.5,160.625,-28.590946
-89.5,161.875,-28.581863
-89.5,163.125,-28.572796
-89.5,164.375,-28.563728
-89.5,165.625,-28.554646
-89.5,166.875,-28.545578
-89.5,168.125,-28.536495
-89.5,169.375,-28.527428
-89.5,170.625,-28.97607
-89.5,171.875,-28.959457
-89.5,173.125,-28.94286
-89.5,174.375,-28.926262
-89.5,175.625,-28.909647
-89.5,176.875,-28.893047
-89.5,178.125,-28.876451
-89.5,179.375,-28.859852
-88.5,-179.375,-28.24031
-88.5,-178.125,-28.187042
-88.5,-176.875,-28.13399
-88.5,-175.625,-28.081167
-88.5,-174.375,-28.02859
-88.5,-173.125,-27.976261
-88.5,-171.875,-27.924177
-88.5,-170.625,-27.872385
-88.5,-169.375,-27.820854
-88.5,-168.125,-27.769615
-88.5,-166.875,-27.718683
-88.5,-165.625,-27.668058
-88.5,-164.375,-27.61774
-88.5,-163.125,-27.567778
-88.5,-161.875,-27.518137
-88.5,-160.625,-27.468864
-88.5,-159.375,-27.419947
-88.5,-158.125,-27.371414
-88.5,-156.875,-27.323032
-88.5,-155.625,-27.269241
-88.5,-154.375,-27.223244
-88.5,-153.125,-27.190678
-88.5,-151.875,-27.170607
-88.5,-150.625,-27.162077
-88.5,-149.375,-27.164183
-88.5,-148.125,-27.176062
-88.5,-146.875,-27.196856
-88.5,-145.625,-27.225718
-88.5,-144.375,-27.205063
-88.5,-143.125,-27.133352
-88.5,-141.875,-27.06796
-88.5,-140.625,-27.00939
-88.5,-139.375,-26.958166
-88.5,-138.125,-26.914827
-88.5,-136.875,-26.879894
-88.5,-135.625,-26.853907
-88.5,-134.375,-26.837416
-88.5,-133.125,-26.823444
-88.5,-131.875,-26.800562
-88.5,-130.625,-26.777832
-88.5,-129.375,-26.755564
-88.5,-128.125,-26.73371
-88.5,-126.875,-26.71227
-88.5,-125.625,-26.691246
-88.5,-124.375,-26.670607
-88.5,-123.125,-26.65035
-88.5,-121.875,-26.630478
-88.5,-120.625,-26.61096
-88.5,-119.375,-26.591795
-88.5,-118.125,-26.572954
-88.5,-116.875,-26.554466
-88.5,-115.625,-26.536285
-88.5,-114.375,-26.518412
-88.5,-113.125,-26.500843
-88.5,-111.875,-26.48357
-88.5,-110.625,-26.466572
-88.5,-109.375,-26.449837
-88.5,-108.125,-26.433376
-88.5,-106.875,-26.417162
-88.5,-105.625,-26.401196
-88.5,-104.375,-26.385456
-88.5,-103.125,-26.369951
-88.5,-101.875,-26.354658
-88.5,-100.625,-26.339567
-88.5,-99.375,-26.138731
-88.5,-98.125,-26.119013
-88.5,-96.875,-26.09951
-88.5,-95.625,-26.080269
-88.5,-94.375,-26.06126
-88.5,-93.125,-26.042524
-88.5,-91.875,-26.024067
-88.5,-90.625,-26.005886
-88.5,-89.375,-25.988012
-88.5,-88.125,-25.97046
-88.5,-86.875,-25.953217
-88.5,-85.625,-25.936314
-88.5,-84.375,-25.91976
-88.5,-83.125,-25.903578
-88.5,-81.875,-25.887764
-88.5,-80.625,-25.872349
-88.5,-79.375,-25.857334
-88.5,-78.125,-25.842733
-88.5,-76.875,-25.828566
-88.5,-75.625,-25.814856
-88.5,-74.375,-25.801607
-88.5,-73.125,-25.788837
-88.5,-71.875,-25.776558
-88.5,-70.625,-25.764786
-88.5,-69.375,-25.753536
-88.5,-68.125,-25.74284
-88.5,-66.875,-25.732603
-88.5,-65.625,-25.722183
-88.5,-64.375,-25.718233
-88.5,-63.125,-25.723906
-88.5,-61.875,-25.738428
-88.5,-60.62499999999994,-25.76108
-88.5,-59.375,-25.791142
-88.5,-58.125,-25.82795
-88.5,-56.875,-25.870874
-88.5,-55.625,-25.9193
-88.5,-54.375,-25.933485
-88.5,-53.125,-25.9128
-88.5,-51.875,-25.894972
-88.5,-50.625,-25.88031
-88.5,-49.375,-25.869106
-88.5,-48.125,-25.861652
-88.5,-46.875,-25.858303
-88.5,-45.625,-25.859348
-88.5,-44.375,-25.865126
-88.5,-43.125,-25.882616
-88.5,-41.875,-25.914812
-88.5,-40.625,-25.94787
-88.5,-39.37499999999994,-25.981464
-88.5,-38.125,-26.015568
-88.5,-36.875,-26.050163
-88.5,-35.625,-26.085249
-88.5,-34.375,-26.12078
-88.5,-33.125,-26.156775
-88.5,-31.875,-26.193213
-88.5,-30.625,-26.230051
-88.5,-29.375,-26.267303
-88.5,-28.125,-26.304943
-88.5,-26.875,-26.342962
-88.5,-25.625,-26.381338
-88.5,-24.375,-26.420069
-88.5,-23.125,-26.459133
-88.5,-21.875,-26.498524
-88.5,-20.625,-26.538221
-88.5,-19.375,-26.578226
-88.5,-18.125,-26.618507
-88.5,-16.875,-26.65905
-88.5,-15.625,-26.699867
-88.5,-14.375,-26.74093
-88.5,-13.125,-26.782242
-88.5,-11.875,-26.823769
-88.5,-10.625,-26.865509
-88.5,-9.375,-26.688232
-88.5,-8.125,-26.745327
-88.5,-6.875,-26.802422
-88.5,-5.625,-26.859531
-88.5,-4.375,-26.916656
-88.5,-3.125,-26.973766
-88.5,-1.875,-27.03089
-88.5,-0.625,-27.088001
-88.5,0.625,-27.14511
-88.5,1.875,-27.202219
-88.5,3.125,-27.2593
-88.5,4.375,-27.316378
-88.5,5.625,-27.373426
-88.5,6.875,-27.430443
-88.5,8.125,-27.487446
-88.5,9.375,-27.544416
-88.5,10.625,-27.601358
-88.5,11.875,-27.658253
-88.5,13.125,-27.715117
-88.5,14.375,-27.77192
-88.5,15.625,-27.82869
-88.5,16.875,-27.885386
-88.5,18.125,-27.942036
-88.5,19.375,-27.998606
-88.5,20.625,-28.055117
-88.5,21.875,-28.111551
-88.5,23.125,-28.167953
-88.5,24.375,-28.226002
-88.5,25.625,-28.283281
-88.5,26.875,-28.33956
-88.5,28.125,-28.394873
-88.5,29.375,-28.449276
-88.5,30.625,-28.502869
-88.5,31.875,-28.55566
-88.5,33.125,-28.607712
-88.5,34.375,-28.659107
-88.5,35.625,-28.718584
-88.5,36.875,-28.78739
-88.5,38.125,-28.854752
-88.5,39.375,-28.92045
-88.5,40.625,-28.984247
-88.5,41.875,-29.045906
-88.5,43.125,-29.105152
