lat,lon,twb
-89.5,-179.375,-30.152752
-89.5,-178.125,-30.133125
-89.5,-176.875,-30.113499
-89.5,-175.625,-30.09389
-89.5,-174.375,-30.074263
-89.5,-173.125,-30.054638
-89.5,-171.875,-30.035011
-89.5,-170.625,-30.0154
-89.5,-169.375,-29.995775
-89.5,-168.125,-29.976149
-89.5,-166.875,-29.956524
-89.5,-165.625,-29.93691
-89.5,-164.375,-29.917284
-89.5,-163.125,-29.89766
-89.5,-161.875,-29.878033
-89.5,-160.625,-29.858423
-89.5,-159.375,-29.838797
-89.5,-158.125,-29.81917
-89.5,-156.875,-29.799545
-89.5,-155.625,-29.779934
-89.5,-154.375,-29.76031
-89.5,-153.125,-29.740683
-89.5,-151.875,-29.721056
-89.5,-150.625,-29.701447
-89.5,-149.375,-29.68182
-89.5,-148.125,-29.662195
-89.5,-146.875,-29.642569
-89.5,-145.625,-29.62296
-89.5,-144.375,-29.603333
-89.5,-143.125,-29.583706
-89.5,-141.875,-29.56408
-89.5,-140.625,-29.544468
-89.5,-139.375,-29.524843
-89.5,-138.125,-29.505217
-89.5,-136.875,-29.48559
-89.5,-135.625,-29.46598
-89.5,-134.375,-29.446354
-89.5,-133.125,-29.42673
-89.5,-131.875,-29.407103
-89.5,-130.625,-29.387491
-89.5,-129.375,-29.367867
-89.5,-128.125,-29.34824
-89.5,-126.875,-29.328615
-89.5,-125.625,-29.309004
-89.5,-124.375,-29.28938
-89.5,-123.125,-29.269753
-89.5,-121.875,-29.250126
-89.5,-120.625,-29.230516
-89.5,-119.375,-29.21089
-89.5,-118.125,-29.191265
-89.5,-116.875,-29.171638
-89.5,-115.625,-29.152027
-89.5,-114.375,-29.132402
-89.5,-113.125,-29.112776
-89.5,-111.875,-29.093151
-89.5,-110.625,-29.073524
-89.5,-109.375,-29.053913
-89.5,-108.125,-29.034288
-89.5,-106.875,-29.014662
-89.5,-105.625,-28.995037
-89.5,-104.375,-28.975426
-89.5,-103.125,-28.9558
-89.5,-101.875,-28.936174
-89.5,-100.625,-28.916548
-89.5,-99.375,-28.63467
-89.5,-98.125,-28.633041
-89.5,-96.875,-28.631428
-89.5,-95.625,-28.629799
-89.5,-94.375,-28.62817
-89.5,-93.125,-28.626554
-89.5,-91.875,-28.624926
-89.5,-90.625,-28.623297
-89.5,-89.375,-28.621668
-89.5,-88.125,-28.620054
-89.5,-86.875,-28.618427
-89.5,-85.625,-28.616796
-89.5,-84.375,-28.615168
-89.5,-83.125,-28.613554
-89.5,-81.875,-28.611925
-89.5,-80.625,-28.610296
-89.5,-79.375,-28.608667
-89.5,-78.125,-28.607052
-89.5,-76.875,-28.605423
-89.5,-75.625,-28.603794
-89.5,-74.375,-28.60218
-89.5,-73.125,-28.600552
-89.5,-71.875,-28.598923
-89.5,-70.625,-28.597292
-89.5,-69.375,-28.59568
-89.5,-68.125,-28.594051
-89.5,-66.875,-28.592422
-89.5,-65.625,-28.590794
-89.5,-64.375,-28.58918
-89.5,-63.125,-28.58755
-89.5,-61.875,-28.58592
-89.5,-60.62499999999994,-28.584307
-89.5,-59.375,-28.582678
-89.5,-58.125,-28.581049
-89.5,-56.875,-28.57942
-89.5,-55.625,-28.577805
-89.5,-54.375,-28.576176
-89.5,-53.125,-28.574547
-89.5,-51.875,-28.572918
-89.5,-50.625,-28.571306
-89.5,-49.375,-28.569677
-89.5,-48.125,-28.568047
-89.5,-46.875,-28.566433
-89.5,-45.625,-28.564804
-89.5,-44.375,-28.563175
-89.5,-43.125,-28.561546
-89.5,-41.875,-28.559933
-89.5,-40.625,-28.558302
-89.5,-39.37499999999994,-28.556673
-89.5,-38.125,-28.555044
-89.5,-36.875,-28.55343
-89.5,-35.625,-28.551802
-89.5,-34.375,-28.550173
-89.5,-33.125,-28.548546
-89.5,-31.875,-28.54693
-89.5,-30.625,-28.545301
-89.5,-29.375,-28.543673
-89.5,-28.125,-28.542059
-89.5,-26.875,-28.54043
-89.5,-25.625,-28.5388
-89.5,-24.375,-28.53717
-89.5,-23.125,-28.535557
-89.5,-21.875,-28.533928
-89.5,-20.625,-28.532299
-89.5,-19.375,-28.53067
-89.5,-18.125,-28.529057
-89.5,-16.875,-28.527428
-89.5,-15.625,-28.525799
-89.5,-14.375,-28.524185
-89.5,-13.125,-28.522556
-89.5,-11.875,-28.520927
-89.5,-10.625,-28.519299
-89.5,-9.375,-28.38662
-89.5,-8.125,-28.410965
-89.5,-6.875,-28.435307
-89.5,-5.625,-28.459652
-89.5,-4.375,-28.48398
-89.5,-3.125,-28.508324
-89.5,-1.875,-28.53267
-89.5,-0.625,-28.55701
-89.5,0.625,-28.581356
-89.5,1.875,-28.6057
-89.5,3.125,-28.630045
-89.5,4.375,-28.654388
-89.5,5.625,-28.678734
-89.5,6.875,-28.703075
-89.5,8.125,-28.727406
-89.5,9.375,-28.751749
-89.5,10.625,-28.776093
-89.5,11.875,-28.800438
-89.5,13.125,-28.82478
-89.5,14.375,-28.849125
-89.5,15.625,-28.873468
-89.5,16.875,-28.897814
-89.5,18.125,-28.922157
-89.5,19.375,-28.946503
-89.5,20.625,-28.970844
-89.5,21.875,-28.995174
-89.5,23.125,-29.019518
-89.5,24.375,-29.043863
-89.5,25.625,-29.068207
-89.5,26.875,-29.09255
-89.5,28.125,-29.116894
-89.5,29.375,-29.14124
-89.5,30.625,-29.165583
-89.5,31.875,-29.189928
-89.5,33.125,-29.21427
-89.5,34.375,-29.2386
-89.5,35.625,-29.262943
-89.5,36.875,-29.287289
-89.5,38.125,-29.311632
-89.5,39.375,-29.335978
-89.5,40.625,-29.36032
-89.5,41.875,-29.384665
-89.5,43.125,-29.409008
-89.5,44.375,-29.433353
-89.5,45.625,-29.457697
-89.5,46.875,-29.482025
-89.5,48.125,-29.50637
-89.5,49.375,-29.530714
-89.5,50.625,-29.55506
-89.5,51.875,-29.579403
-89.5,53.125,-29.603746
-89.5,54.375,-29.62809
-89.5,55.625,-29.652435
-89.5,56.875,-29.676779
-89.5,58.125,-29.701124
-89.5,59.375,-29.725452
-89.5,60.625,-29.749796
-89.5,61.875,-29.77414
-89.5,63.125,-29.798485
-89.5,64.375,-29.82283
-89.5,65.625,-29.847174
-89.5,66.875,-29.871517
-89.5,68.125,-29.89586
-89.5,69.375,-29.920206
-89.5,70.625,-29.94455
-89.5,71.875,-29.968895
-89.5,73.125,-29.993221
-89.5,74.375,-30.017567
-89.5,75.625,-30.041912
-89.5,76.875,-30.066256
-89.5,78.125,-30.090601
-89.5,79.375,-30.114944
-89.5,80.625,-30.242414
-89.5,81.875,-30.239323
-89.5,83.125,-30.23622
-89.5,84.375,-30.233131
-89.5,85.625,-30.230024
-89.5,86.875,-30.226936
-89.5,88.125,-30.223848
-89.5,89.375,-30.220743
-89.5,90.625,-30.217653
-89.5,91.875,-30.21455
-89.5,93.125,-30.21146
-89.5,94.375,-30.208355
-89.5,95.625,-30.205267
-89.5,96.875,-30.202177
-89.5,98.125,-30.199074
-89.5,99.375,-30.195984
-89.5,100.625,-30.192879
-89.5,101.875,-30.18979
-89.5,103.125,-30.186686
-89.5,104.375,-30.183596
-89.5,105.625,-30.180508
-89.5,106.875,-30.177402
-89.5,108.125,-30.174313
-89.5,109.375,-30.17121
-89.5,110.625,-30.168121
-89.5,111.875,-30.16503
-89.5,113.125,-30.161926
-89.5,114.375,-30.158838
-89.5,115.625,-30.155731
-89.5,116.875,-30.152643
-89.5,118.125,-30.14954
-89.5,119.375,-30.14645
-89.5,120.625,-30.14336
-89.5,121.875,-30.140257
-89.5,123.125,-30.137169
-89.5,124.375,-30.134062
-89.5,125.625,-30.130974
-89.5,126.875,-30.127886
-89.5,128.125,-30.124779
-89.5,129.375,-30.12169
-89.5,130.625,-30.118587
-89.5,131.875,-30.115498
-89.5,133.125,-30.112392
-89.5,134.375,-30.109304
-89.5,135.625,-30.106215
-89.5,136.875,-30.10311
-89.5,138.125,-30.100021
-89.5,139.375,-30.096916
-89.5,140.625,-30.093828
-89.5,141.875,-30.090738
-89.5,143.125,-30.087633
-89.5,144.375,-30.084545
-89.5,145.625,-30.08144
-89.5,146.875,-30.07835
-89.5,148.125,-30.075247
-89.5,149.375,-30.072157
-89.5,150.625,-30.069067
-89.5,151.875,-30.065964
-89.5,153.125,-30.062876
-89.5,154.375,-30.059769
-89.5,155.625,-30.05668
-89.5,156.875,-30.053593
-89.5,158.125,-30.050486
-89.5,159.375,-30.047398
-89.5,160.625,-30.044294
-89.5,161.875,-30.041204
-89.5,163.125,-30.0381
-89.5,164.375,-30.035011
-89.5,165.625,-30.031921
-89.5,166.875,-30.028816
-89.5,168.125,-30.025728
-89.5,169.375,-30.022623
-89.5,170.625,-30.309729
-89.5,171.875,-30.290104
-89.5,173.125,-30.270493
-89.5,174.375,-30.250866
-89.5,175.625,-30.23124
-89.5,176.875,-30.211613
-89.5,178.125,-30.191988
-89.5,179.375,-30.172377
-88.5,-179.375,-30.010405
-88.5,-178.125,-29.96001
-88.5,-176.875,-29.909725
-88.5,-175.625,-29.85956
-88.5,-174.375,-29.809488
-88.5,-173.125,-29.759556
-88.5,-171.875,-29.70973
-88.5,-170.625,-29.660042
-88.5,-169.375,-29.610493
-88.5,-168.125,-29.561083
-88.5,-166.875,-29.51181
-88.5,-165.625,-29.462708
-88.5,-164.375,-29.413742
-88.5,-163.125,-29.364946
-88.5,-161.875,-29.316336
-88.5,-160.625,-29.267878
-88.5,-159.375,-29.219604
-88.5,-158.125,-29.171532
-88.5,-156.875,-29.12332
-88.5,-155.625,-29.065363
-88.5,-154.375,-29.012604
-88.5,-153.125,-28.972721
-88.5,-151.875,-28.944826
-88.5,-150.625,-28.927998
-88.5,-149.375,-28.921389
-88.5,-148.125,-28.924156
-88.5,-146.875,-28.935482
-88.5,-145.625,-28.954556
-88.5,-144.375,-28.928566
-88.5,-143.125,-28.855581
-88.5,-141.875,-28.787804
-88.5,-140.625,-28.725653
-88.5,-139.375,-28.669497
-88.5,-138.125,-28.619701
-88.5,-136.875,-28.576653
-88.5,-135.625,-28.540722
-88.5,-134.375,-28.512243
-88.5,-133.125,-28.485193
-88.5,-131.875,-28.44983
-88.5,-130.625,-28.414515
-88.5,-129.375,-28.379503
-88.5,-128.125,-28.344786
-88.5,-126.875,-28.31033
-88.5,-125.625,-28.276165
-88.5,-124.375,-28.242262
-88.5,-123.125,-28.208618
-88.5,-121.875,-28.175222
-88.5,-120.625,-28.14209
-88.5,-119.375,-28.109184
-88.5,-118.125,-28.076525
-88.5,-116.875,-28.044083
-88.5,-115.625,-28.01187
-88.5,-114.375,-27.979858
-88.5,-113.125,-27.948074
-88.5,-111.875,-27.916475
-88.5,-110.625,-27.885078
-88.5,-109.375,-27.85388
-88.5,-108.125,-27.822866
-88.5,-106.875,-27.79202
-88.5,-105.625,-27.76136
-88.5,-104.375,-27.730854
-88.5,-103.125,-27.700516
-88.5,-101.875,-27.670332
-88.5,-100.625,-27.640303
-88.5,-99.375,-27.521717
-88.5,-98.125,-27.48222
-88.5,-96.875,-27.442986
-88.5,-95.625,-27.40401
-88.5,-94.375,-27.36531
-88.5,-93.125,-27.326904
-88.5,-91.875,-27.28879
-88.5,-90.625,-27.250984
-88.5,-89.375,-27.213531
-88.5,-88.125,-27.1764
-88.5,-86.875,-27.139639
-88.5,-85.625,-27.103245
-88.5,-84.375,-27.067238
-88.5,-83.125,-27.031643
-88.5,-81.875,-26.99645
-88.5,-80.625,-26.961718
-88.5,-79.375,-26.927414
-88.5,-78.125,-26.893587
-88.5,-76.875,-26.860254
-88.5,-75.625,-26.827412
-88.5,-74.375,-26.795092
-88.5,-73.125,-26.763294
-88.5,-71.875,-26.732063
-88.5,-70.625,-26.70142
-88.5,-69.375,-26.671343
-88.5,-68.125,-26.641897
-88.5,-66.875,-26.612957
-88.5,-65.625,-26.583004
-88.5,-64.375,-26.560751
-88.5,-63.125,-26.550085
-88.5,-61.875,-26.55007
-88.5,-60.62499999999994,-26.55983
-88.5,-59.375,-26.578518
-88.5,-58.125,-26.605335
-88.5,-56.875,-26.639515
-88.5,-55.625,-26.680334
-88.5,-54.375,-26.685297
-88.5,-53.125,-26.653101
-88.5,-51.875,-26.624315
-88.5,-50.625,-26.599249
-88.5,-49.375,-26.57821
-88.5,-48.125,-26.56155
-88.5,-46.875,-26.549623
-88.5,-45.625,-26.542753
-88.5,-44.375,-26.541325
-88.5,-43.125,-26.55004
-88.5,-41.875,-26.569757
-88.5,-40.625,-26.59029
-88.5,-39.37499999999994,-26.611422
-88.5,-38.125,-26.633106
