lat,lon,twb
-89.5,-179.375,-29.994453
-89.5,-178.125,-29.973734
-89.5,-176.875,-29.953018
-89.5,-175.625,-29.9323
-89.5,-174.375,-29.911585
-89.5,-173.125,-29.890867
-89.5,-171.875,-29.870148
-89.5,-170.625,-29.849432
-89.5,-169.375,-29.828714
-89.5,-168.125,-29.807999
-89.5,-166.875,-29.787281
-89.5,-165.625,-29.766565
-89.5,-164.375,-29.745846
-89.5,-163.125,-29.725128
-89.5,-161.875,-29.704412
-89.5,-160.625,-29.683695
-89.5,-159.375,-29.66298
-89.5,-158.125,-29.642262
-89.5,-156.875,-29.621529
-89.5,-155.625,-29.600811
-89.5,-154.375,-29.580093
-89.5,-153.125,-29.559378
-89.5,-151.875,-29.53866
-89.5,-150.625,-29.517942
-89.5,-149.375,-29.497227
-89.5,-148.125,-29.476507
-89.5,-146.875,-29.455791
-89.5,-145.625,-29.435074
-89.5,-144.375,-29.414356
-89.5,-143.125,-29.39364
-89.5,-141.875,-29.372923
-89.5,-140.625,-29.352207
-89.5,-139.375,-29.331488
-89.5,-138.125,-29.310772
-89.5,-136.875,-29.290054
-89.5,-135.625,-29.269337
-89.5,-134.375,-29.248621
-89.5,-133.125,-29.227903
-89.5,-131.875,-29.207188
-89.5,-130.625,-29.18647
-89.5,-129.375,-29.16575
-89.5,-128.125,-29.145035
-89.5,-126.875,-29.124317
-89.5,-125.625,-29.103601
-89.5,-124.375,-29.082884
-89.5,-123.125,-29.062168
-89.5,-121.875,-29.04145
-89.5,-120.625,-29.020733
-89.5,-119.375,-29.000015
-89.5,-118.125,-28.979298
-89.5,-116.875,-28.958582
-89.5,-115.625,-28.937864
-89.5,-114.375,-28.917147
-89.5,-113.125,-28.896416
-89.5,-111.875,-28.875698
-89.5,-110.625,-28.854982
-89.5,-109.375,-28.834263
-89.5,-108.125,-28.813545
-89.5,-106.875,-28.79283
-89.5,-105.625,-28.772112
-89.5,-104.375,-28.751396
-89.5,-103.125,-28.730679
-89.5,-101.875,-28.70996
-89.5,-100.625,-28.689245
-89.5,-99.375,-28.485455
-89.5,-98.125,-28.481337
-89.5,-96.875,-28.477217
-89.5,-95.625,-28.473099
-89.5,-94.375,-28.468979
-89.5,-93.125,-28.464876
-89.5,-91.875,-28.460758
-89.5,-90.625,-28.456638
-89.5,-89.375,-28.45252
-89.5,-88.125,-28.4484
-89.5,-86.875,-28.444283
-89.5,-85.625,-28.440165
-89.5,-84.375,-28.436045
-89.5,-83.125,-28.431927
-89.5,-81.875,-28.427807
-89.5,-80.625,-28.423689
-89.5,-79.375,-28.419569
-89.5,-78.125,-28.415451
-89.5,-76.875,-28.411333
-89.5,-75.625,-28.407213
-89.5,-74.375,-28.403095
-89.5,-73.125,-28.398975
-89.5,-71.875,-28.394873
-89.5,-70.625,-28.390755
-89.5,-69.375,-28.386635
-89.5,-68.125,-28.382517
-89.5,-66.875,-28.378397
-89.5,-65.625,-28.374279
-89.5,-64.375,-28.37016
-89.5,-63.125,-28.366041
-89.5,-61.875,-28.361923
-89.5,-60.62499999999994,-28.357803
-89.5,-59.375,-28.353685
-89.5,-58.125,-28.349566
-89.5,-56.875,-28.345448
-89.5,-55.625,-28.34133
-89.5,-54.375,-28.337208
-89.5,-53.125,-28.33309
-89.5,-51.875,-28.32897
-89.5,-50.625,-28.324867
-89.5,-49.375,-28.32075
-89.5,-48.125,-28.31663
-89.5,-46.875,-28.312511
-89.5,-45.625,-28.308392
-89.5,-44.375,-28.304274
-89.5,-43.125,-28.300156
-89.5,-41.875,-28.296036
-89.5,-40.625,-28.291918
