lat,lon,twb
-89.5,-179.375,-28.480783
-89.5,-178.125,-28.464216
-89.5,-176.875,-28.447632
-89.5,-175.625,-28.431051
-89.5,-174.375,-28.414482
-89.5,-173.125,-28.3979
-89.5,-171.875,-28.381317
-89.5,-170.625,-28.36475
-89.5,-169.375,-28.348166
-89.5,-168.125,-28.331585
-89.5,-166.875,-28.315018
-89.5,-165.625,-28.298433
-89.5,-164.375,-28.281853
-89.5,-163.125,-28.265284
-89.5,-161.875,-28.248701
-89.5,-160.625,-28.232119
-89.5,-159.375,-28.215551
-89.5,-158.125,-28.198967
-89.5,-156.875,-28.182386
-89.5,-155.625,-28.165817
-89.5,-154.375,-28.149235
-89.5,-153.125,-28.132668
-89.5,-151.875,-28.116085
-89.5,-150.625,-28.0995
-89.5,-149.375,-28.082935
-89.5,-148.125,-28.06635
-89.5,-146.875,-28.049768
-89.5,-145.625,-28.033201
-89.5,-144.375,-28.016619
-89.5,-143.125,-28.000034
-89.5,-141.875,-27.983469
-89.5,-140.625,-27.966885
-89.5,-139.375,-27.950304
-89.5,-138.125,-27.933735
-89.5,-136.875,-27.917152
-89.5,-135.625,-27.90057
-89.5,-134.375,-27.884003
-89.5,-133.125,-27.867418
-89.5,-131.875,-27.850853
-89.5,-130.625,-27.834269
-89.5,-129.375,-27.817686
-89.5,-128.125,-27.80112
-89.5,-126.875,-27.784536
-89.5,-125.625,-27.767956
-89.5,-124.375,-27.751387
-89.5,-123.125,-27.734804
-89.5,-121.875,-27.718222
-89.5,-120.625,-27.701654
-89.5,-119.375,-27.68507
-89.5,-118.125,-27.66849
-89.5,-116.875,-27.65192
-89.5,-115.625,-27.635338
-89.5,-114.375,-27.618755
-89.5,-113.125,-27.602188
-89.5,-111.875,-27.585606
-89.5,-110.625,-27.569023
-89.5,-109.375,-27.552454
-89.5,-108.125,-27.535873
-89.5,-106.875,-27.519304
-89.5,-105.625,-27.502722
-89.5,-104.375,-27.48614
-89.5,-103.125,-27.469572
-89.5,-101.875,-27.452988
-89.5,-100.625,-27.436407
-89.5,-99.375,-27.379358
-89.5,-98.125,-27.388641
-89.5,-96.875,-27.397907
-89.5,-95.625,-27.40719
-89.5,-94.375,-27.416458
-89.5,-93.125,-27.425741
-89.5,-91.875,-27.435009
-89.5,-90.625,-27.444292
-89.5,-89.375,-27.453556
-89.5,-88.125,-27.46284
-89.5,-86.875,-27.472107
-89.5,-85.625,-27.48139
-89.5,-84.375,-27.490658
-89.5,-83.125,-27.49994
-89.5,-81.875,-27.509207
-89.5,-80.625,-27.51849
-89.5,-79.375,-27.527758
-89.5,-78.125,-27.53704
-89.5,-76.875,-27.546309
-89.5,-75.625,-27.555592
-89.5,-74.375,-27.564857
-89.5,-73.125,-27.574139
-89.5,-71.875,-27.583406
-89.5,-70.625,-27.59269
-89.5,-69.375,-27.601957
-89.5,-68.125,-27.61124
-89.5,-66.875,-27.620508
-89.5,-65.625,-27.62979
-89.5,-64.375,-27.639057
-89.5,-63.125,-27.64834
-89.5,-61.875,-27.657608
-89.5,-60.62499999999994,-27.66689
-89.5,-59.375,-27.676157
-89.5,-58.125,-27.685438
-89.5,-56.875,-27.694706
-89.5,-55.625,-27.703989
-89.5,-54.375,-27.713257
-89.5,-53.125,-27.72254
-89.5,-51.875,-27.731808
-89.5,-50.625,-27.74109
-89.5,-49.375,-27.750357
-89.5,-48.125,-27.75964
-89.5,-46.875,-27.768908
-89.5,-45.625,-27.77819
-89.5,-44.375,-27.787457
-89.5,-43.125,-27.79674
-89.5,-41.875,-27.806005
-89.5,-40.625,-27.815289
-89.5,-39.37499999999994,-27.824556
-89.5,-38.125,-27.83384
-89.5,-36.875,-27.843107
-89.5,-35.625,-27.85239
-89.5,-34.375,-27.861656
-89.5,-33.125,-27.87094
-89.5,-31.875,-27.880207
-89.5,-30.625,-27.889488
-89.5,-29.375,-27.898756
-89.5,-28.125,-27.90804
-89.5,-26.875,-27.917305
-89.5,-25.625,-27.926588
-89.5,-24.375,-27.935856
-89.5,-23.125,-27.945139
-89.5,-21.875,-27.954407
-89.5,-20.625,-27.96369
-89.5,-19.375,-27.972956
-89.5,-18.125,-27.982239
-89.5,-16.875,-27.991507
-89.5,-15.625,-28.00079
-89.5,-14.375,-28.010056
-89.5,-13.125,-28.019339
-89.5,-11.875,-28.028606
-89.5,-10.625,-28.037888
-89.5,-9.375,-27.884817
-89.5,-8.125,-27.90372
-89.5,-6.875,-27.922625
-89.5,-5.625,-27.941528
-89.5,-4.375,-27.960447
-89.5,-3.125,-27.97935
-89.5,-1.875,-27.998253
-89.5,-0.625,-28.017157
-89.5,0.625,-28.03606
-89.5,1.875,-28.054964
-89.5,3.125,-28.073883
-89.5,4.375,-28.092787
-89.5,5.625,-28.11169
-89.5,6.875,-28.130592
-89.5,8.125,-28.149496
-89.5,9.375,-28.1684
-89.5,10.625,-28.187319
-89.5,11.875,-28.206223
-89.5,13.125,-28.225126
-89.5,14.375,-28.24403
-89.5,15.625,-28.262932
-89.5,16.875,-28.281853
-89.5,18.125,-28.300755
-89.5,19.375,-28.319656
-89.5,20.625,-28.33856
-89.5,21.875,-28.357464
-89.5,23.125,-28.376368
-89.5,24.375,-28.395287
-89.5,25.625,-28.41419
